name,label,profile,protocol,floor,room,telemetryTopic,commandTopic,statusTopic,deviceToken,authType,username,password,telemetryUri,commandUri,pskIdentity,pskValue
b01-f05-r209,CoAP Floor 05 Room 209,CoAP-ThermalSensor,coap,5,209,,,campus/b01/f05/r209/status,b01-f05-coap-09-token,psk,,,coap://[node_ip]/f05/r209/telemetry,coap://[gateway_ip]/f05/r209/actuators/hvac,coap_b01-f05-r209,psk-05-09
b01-f05-r210,CoAP Floor 05 Room 210,CoAP-ThermalSensor,coap,5,210,,,campus/b01/f05/r210/status,b01-f05-coap-10-token,psk,,,coap://[node_ip]/f05/r210/telemetry,coap://[gateway_ip]/f05/r210/actuators/hvac,coap_b01-f05-r210,psk-05-10
b01-f06-r101,MQTT Floor 06 Room 101,MQTT-ThermalSensor,mqtt,6,101,campus/b01/f06/r101/telemetry,campus/b01/f06/r101/cmd,campus/b01/f06/r101/status,b01-f06-mqtt-01-token,username_password,mqtt_b01-f06-r101,pass_06_01,,,,
b01-f06-r102,MQTT Floor 06 Room 102,MQTT-ThermalSensor,mqtt,6,102,campus/b01/f06/r102/telemetry,campus/b01/f06/r102/cmd,campus/b01/f06/r102/status,b01-f06-mqtt-02-token,username_password,mqtt_b01-f06-r102,pass_06_02,,,,
b01-f06-r103,MQTT Floor 06 Room 103,MQTT-ThermalSensor,mqtt,6,103,campus/b01/f06/r103/telemetry,campus/b01/f06/r103/cmd,campus/b01/f06/r103/status,b01-f06-mqtt-03-token,username_password,mqtt_b01-f06-r103,pass_06_03,,,,
b01-f06-r104,MQTT Floor 06 Room 104,MQTT-ThermalSensor,mqtt,6,104,campus/b01/f06/r104/telemetry,campus/b01/f06/r104/cmd,campus/b01/f06/r104/status,b01-f06-mqtt-04-token,username_password,mqtt_b01-f06-r104,pass_06_04,,,,
b01-f06-r105,MQTT Floor 06 Room 105,MQTT-ThermalSensor,mqtt,6,105,campus/b01/f06/r105/telemetry,campus/b01/f06/r105/cmd,campus/b01/f06/r105/status,b01-f06-mqtt-05-token,username_password,mqtt_b01-f06-r105,pass_06_05,,,,
b01-f06-r106,MQTT Floor 06 Room 106,MQTT-ThermalSensor,mqtt,6,106,campus/b01/f06/r106/telemetry,campus/b01/f06/r106/cmd,campus/b01/f06/r106/status,b01-f06-mqtt-06-token,username_password,mqtt_b01-f06-r106,pass_06_06,,,,
b01-f06-r107,MQTT Floor 06 Room 107,MQTT-ThermalSensor,mqtt,6,107,campus/b01/f06/r107/telemetry,campus/b01/f06/r107/cmd,campus/b01/f06/r107/status,b01-f06-mqtt-07-token,username_password,mqtt_b01-f06-r107,pass_06_07,,,,
b01-f06-r108,MQTT Floor 06 Room 108,MQTT-ThermalSensor,mqtt,6,108,campus/b01/f06/r108/telemetry,campus/b01/f06/r108/cmd,campus/b01/f06/r108/status,b01-f06-mqtt-08-token,username_password,mqtt_b01-f06-r108,pass_06_08,,,,
b01-f06-r109,MQTT Floor 06 Room 109,MQTT-ThermalSensor,mqtt,6,109,campus/b01/f06/r109/telemetry,campus/b01/f06/r109/cmd,campus/b01/f06/r109/status,b01-f06-mqtt-09-token,username_password,mqtt_b01-f06-r109,pass_06_09,,,,
b01-f06-r110,MQTT Floor 06 Room 110,MQTT-ThermalSensor,mqtt,6,110,campus/b01/f06/r110/telemetry,campus/b01/f06/r110/cmd,campus/b01/f06/r110/status,b01-f06-mqtt-10-token,username_password,mqtt_b01-f06-r110,pass_06_10,,,,
b01-f06-r201,CoAP Floor 06 Room 201,CoAP-ThermalSensor,coap,6,201,,,campus/b01/f06/r201/status,b01-f06-coap-01-token,psk,,,coap://[node_ip]/f06/r201/telemetry,coap://[gateway_ip]/f06/r201/actuators/hvac,coap_b01-f06-r201,psk-06-01
b01-f06-r202,CoAP Floor 06 Room 202,CoAP-ThermalSensor,coap,6,202,,,campus/b01/f06/r202/status,b01-f06-coap-02-token,psk,,,coap://[node_ip]/f06/r202/telemetry,coap://[gateway_ip]/f06/r202/actuators/hvac,coap_b01-f06-r202,psk-06-02
b01-f06-r203,CoAP Floor 06 Room 203,CoAP-ThermalSensor,coap,6,203,,,campus/b01/f06/r203/status,b01-f06-coap-03-token,psk,,,coap://[node_ip]/f06/r203/telemetry,coap://[gateway_ip]/f06/r203/actuators/hvac,coap_b01-f06-r203,psk-06-03
b01-f06-r204,CoAP Floor 06 Room 204,CoAP-ThermalSensor,coap,6,204,,,campus/b01/f06/r204/status,b01-f06-coap-04-token,psk,,,coap://[node_ip]/f06/r204/telemetry,coap://[gateway_ip]/f06/r204/actuators/hvac,coap_b01-f06-r204,psk-06-04
b01-f06-r205,CoAP Floor 06 Room 205,CoAP-ThermalSensor,coap,6,205,,,campus/b01/f06/r205/status,b01-f06-coap-05-token,psk,,,coap://[node_ip]/f06/r205/telemetry,coap://[gateway_ip]/f06/r205/actuators/hvac,coap_b01-f06-r205,psk-06-05
b01-f06-r206,CoAP Floor 06 Room 206,CoAP-ThermalSensor,coap,6,206,,,campus/b01/f06/r206/status,b01-f06-coap-06-token,psk,,,coap://[node_ip]/f06/r206/telemetry,coap://[gateway_ip]/f06/r206/actuators/hvac,coap_b01-f06-r206,psk-06-06
b01-f06-r207,CoAP Floor 06 Room 207,CoAP-ThermalSensor,coap,6,207,,,campus/b01/f06/r207/status,b01-f06-coap-07-token,psk,,,coap://[node_ip]/f06/r207/telemetry,coap://[gateway_ip]/f06/r207/actuators/hvac,coap_b01-f06-r207,psk-06-07
b01-f06-r208,CoAP Floor 06 Room 208,CoAP-ThermalSensor,coap,6,208,,,campus/b01/f06/r208/status,b01-f06-coap-08-token,psk,,,coap://[node_ip]/f06/r208/telemetry,coap://[gateway_ip]/f06/r208/actuators/hvac,coap_b01-f06-r208,psk-06-08
b01-f06-r209,CoAP Floor 06 Room 209,CoAP-ThermalSensor,coap,6,209,,,campus/b01/f06/r209/status,b01-f06-coap-09-token,psk,,,coap://[node_ip]/f06/r209/telemetry,coap://[gateway_ip]/f06/r209/actuators/hvac,coap_b01-f06-r209,psk-06-09
b01-f06-r210,CoAP Floor 06 Room 210,CoAP-ThermalSensor,coap,6,210,,,campus/b01/f06/r210/status,b01-f06-coap-10-token,psk,,,coap://[node_ip]/f06/r210/telemetry,coap://[gateway_ip]/f06/r210/actuators/hvac,coap_b01-f06-r210,psk-06-10
b01-f07-r101,MQTT Floor 07 Room 101,MQTT-ThermalSensor,mqtt,7,101,campus/b01/f07/r101/telemetry,campus/b01/f07/r101/cmd,campus/b01/f07/r101/status,b01-f07-mqtt-01-token,username_password,mqtt_b01-f07-r101,pass_07_01,,,,
b01-f07-r102,MQTT Floor 07 Room 102,MQTT-ThermalSensor,mqtt,7,102,campus/b01/f07/r102/telemetry,campus/b01/f07/r102/cmd,campus/b01/f07/r102/status,b01-f07-mqtt-02-token,username_password,mqtt_b01-f07-r102,pass_07_02,,,,
b01-f07-r103,MQTT Floor 07 Room 103,MQTT-ThermalSensor,mqtt,7,103,campus/b01/f07/r103/telemetry,campus/b01/f07/r103/cmd,campus/b01/f07/r103/status,b01-f07-mqtt-03-token,username_password,mqtt_b01-f07-r103,pass_07_03,,,,
b01-f07-r104,MQTT Floor 07 Room 104,MQTT-ThermalSensor,mqtt,7,104,campus/b01/f07/r104/telemetry,campus/b01/f07/r104/cmd,campus/b01/f07/r104/status,b01-f07-mqtt-04-token,username_password,mqtt_b01-f07-r104,pass_07_04,,,,
b01-f07-r105,MQTT Floor 07 Room 105,MQTT-ThermalSensor,mqtt,7,105,campus/b01/f07/r105/telemetry,campus/b01/f07/r105/cmd,campus/b01/f07/r105/status,b01-f07-mqtt-05-token,username_password,mqtt_b01-f07-r105,pass_07_05,,,,
b01-f07-r106,MQTT Floor 07 Room 106,MQTT-ThermalSensor,mqtt,7,106,campus/b01/f07/r106/telemetry,campus/b01/f07/r106/cmd,campus/b01/f07/r106/status,b01-f07-mqtt-06-token,username_password,mqtt_b01-f07-r106,pass_07_06,,,,
b01-f07-r107,MQTT Floor 07 Room 107,MQTT-ThermalSensor,mqtt,7,107,campus/b01/f07/r107/telemetry,campus/b01/f07/r107/cmd,campus/b01/f07/r107/status,b01-f07-mqtt-07-token,username_password,mqtt_b01-f07-r107,pass_07_07,,,,
b01-f07-r108,MQTT Floor 07 Room 108,MQTT-ThermalSensor,mqtt,7,108,campus/b01/f07/r108/telemetry,campus/b01/f07/r108/cmd,campus/b01/f07/r108/status,b01-f07-mqtt-08-token,username_password,mqtt_b01-f07-r108,pass_07_08,,,,
b01-f07-r109,MQTT Floor 07 Room 109,MQTT-ThermalSensor,mqtt,7,109,campus/b01/f07/r109/telemetry,campus/b01/f07/r109/cmd,campus/b01/f07/r109/status,b01-f07-mqtt-09-token,username_password,mqtt_b01-f07-r109,pass_07_09,,,,
b01-f07-r110,MQTT Floor 07 Room 110,MQTT-ThermalSensor,mqtt,7,110,campus/b01/f07/r110/telemetry,campus/b01/f07/r110/cmd,campus/b01/f07/r110/status,b01-f07-mqtt-10-token,username_password,mqtt_b01-f07-r110,pass_07_10,,,,
b01-f07-r201,CoAP Floor 07 Room 201,CoAP-ThermalSensor,coap,7,201,,,campus/b01/f07/r201/status,b01-f07-coap-01-token,psk,,,coap://[node_ip]/f07/r201/telemetry,coap://[gateway_ip]/f07/r201/actuators/hvac,coap_b01-f07-r201,psk-07-01
b01-f07-r202,CoAP Floor 07 Room 202,CoAP-ThermalSensor,coap,7,202,,,campus/b01/f07/r202/status,b01-f07-coap-02-token,psk,,,coap://[node_ip]/f07/r202/telemetry,coap://[gateway_ip]/f07/r202/actuators/hvac,coap_b01-f07-r202,psk-07-02
b01-f07-r203,CoAP Floor 07 Room 203,CoAP-ThermalSensor,coap,7,203,,,campus/b01/f07/r203/status,b01-f07-coap-03-token,psk,,,coap://[node_ip]/f07/r203/telemetry,coap://[gateway_ip]/f07/r203/actuators/hvac,coap_b01-f07-r203,psk-07-03
b01-f07-r204,CoAP Floor 07 Room 204,CoAP-ThermalSensor,coap,7,204,,,campus/b01/f07/r204/status,b01-f07-coap-04-token,psk,,,coap://[node_ip]/f07/r204/telemetry,coap://[gateway_ip]/f07/r204/actuators/hvac,coap_b01-f07-r204,psk-07-04
b01-f07-r205,CoAP Floor 07 Room 205,CoAP-ThermalSensor,coap,7,205,,,campus/b01/f07/r205/status,b01-f07-coap-05-token,psk,,,coap://[node_ip]/f07/r205/telemetry,coap://[gateway_ip]/f07/r205/actuators/hvac,coap_b01-f07-r205,psk-07-05
b01-f07-r206,CoAP Floor 07 Room 206,CoAP-ThermalSensor,coap,7,206,,,campus/b01/f07/r206/status,b01-f07-coap-06-token,psk,,,coap://[node_ip]/f07/r206/telemetry,coap://[gateway_ip]/f07/r206/actuators/hvac,coap_b01-f07-r206,psk-07-06
b01-f07-r207,CoAP Floor 07 Room 207,CoAP-ThermalSensor,coap,7,207,,,campus/b01/f07/r207/status,b01-f07-coap-07-token,psk,,,coap://[node_ip]/f07/r207/telemetry,coap://[gateway_ip]/f07/r207/actuators/hvac,coap_b01-f07-r207,psk-07-07
b01-f07-r208,CoAP Floor 07 Room 208,CoAP-ThermalSensor,coap,7,208,,,campus/b01/f07/r208/status,b01-f07-coap-08-token,psk,,,coap://[node_ip]/f07/r208/telemetry,coap://[gateway_ip]/f07/r208/actuators/hvac,coap_b01-f07-r208,psk-07-08
b01-f07-r209,CoAP Floor 07 Room 209,CoAP-ThermalSensor,coap,7,209,,,campus/b01/f07/r209/status,b01-f07-coap-09-token,psk,,,coap://[node_ip]/f07/r209/telemetry,coap://[gateway_ip]/f07/r209/actuators/hvac,coap_b01-f07-r209,psk-07-09
b01-f07-r210,CoAP Floor 07 Room 210,CoAP-ThermalSensor,coap,7,210,,,campus/b01/f07/r210/status,b01-f07-coap-10-token,psk,,,coap://[node_ip]/f07/r210/telemetry,coap://[gateway_ip]/f07/r210/actuators/hvac,coap_b01-f07-r210,psk-07-10
b01-f08-r101,MQTT Floor 08 Room 101,MQTT-ThermalSensor,mqtt,8,101,campus/b01/f08/r101/telemetry,campus/b01/f08/r101/cmd,campus/b01/f08/r101/status,b01-f08-mqtt-01-token,username_password,mqtt_b01-f08-r101,pass_08_01,,,,
b01-f08-r102,MQTT Floor 08 Room 102,MQTT-ThermalSensor,mqtt,8,102,campus/b01/f08/r102/telemetry,campus/b01/f08/r102/cmd,campus/b01/f08/r102/status,b01-f08-mqtt-02-token,username_password,mqtt_b01-f08-r102,pass_08_02,,,,
b01-f08-r103,MQTT Floor 08 Room 103,MQTT-ThermalSensor,mqtt,8,103,campus/b01/f08/r103/telemetry,campus/b01/f08/r103/cmd,campus/b01/f08/r103/status,b01-f08-mqtt-03-token,username_password,mqtt_b01-f08-r103,pass_08_03,,,,
b01-f08-r104,MQTT Floor 08 Room 104,MQTT-ThermalSensor,mqtt,8,104,campus/b01/f08/r104/telemetry,campus/b01/f08/r104/cmd,campus/b01/f08/r104/status,b01-f08-mqtt-04-token,username_password,mqtt_b01-f08-r104,pass_08_04,,,,
b01-f08-r105,MQTT Floor 08 Room 105,MQTT-ThermalSensor,mqtt,8,105,campus/b01/f08/r105/telemetry,campus/b01/f08/r105/cmd,campus/b01/f08/r105/status,b01-f08-mqtt-05-token,username_password,mqtt_b01-f08-r105,pass_08_05,,,,
b01-f08-r106,MQTT Floor 08 Room 106,MQTT-ThermalSensor,mqtt,8,106,campus/b01/f08/r106/telemetry,campus/b01/f08/r106/cmd,campus/b01/f08/r106/status,b01-f08-mqtt-06-token,username_password,mqtt_b01-f08-r106,pass_08_06,,,,
b01-f08-r107,MQTT Floor 08 Room 107,MQTT-ThermalSensor,mqtt,8,107,campus/b01/f08/r107/telemetry,campus/b01/f08/r107/cmd,campus/b01/f08/r107/status,b01-f08-mqtt-07-token,username_password,mqtt_b01-f08-r107,pass_08_07,,,,
b01-f08-r108,MQTT Floor 08 Room 108,MQTT-ThermalSensor,mqtt,8,108,campus/b01/f08/r108/telemetry,campus/b01/f08/r108/cmd,campus/b01/f08/r108/status,b01-f08-mqtt-08-token,username_password,mqtt_b01-f08-r108,pass_08_08,,,,
b01-f08-r109,MQTT Floor 08 Room 109,MQTT-ThermalSensor,mqtt,8,109,campus/b01/f08/r109/telemetry,campus/b01/f08/r109/cmd,campus/b01/f08/r109/status,b01-f08-mqtt-09-token,username_password,mqtt_b01-f08-r109,pass_08_09,,,,
b01-f08-r110,MQTT Floor 08 Room 110,MQTT-ThermalSensor,mqtt,8,110,campus/b01/f08/r110/telemetry,campus/b01/f08/r110/cmd,campus/b01/f08/r110/status,b01-f08-mqtt-10-token,username_password,mqtt_b01-f08-r110,pass_08_10,,,,
b01-f08-r201,CoAP Floor 08 Room 201,CoAP-ThermalSensor,coap,8,201,,,campus/b01/f08/r201/status,b01-f08-coap-01-token,psk,,,coap://[node_ip]/f08/r201/telemetry,coap://[gateway_ip]/f08/r201/actuators/hvac,coap_b01-f08-r201,psk-08-01
b01-f08-r202,CoAP Floor 08 Room 202,CoAP-ThermalSensor,coap,8,202,,,campus/b01/f08/r202/status,b01-f08-coap-02-token,psk,,,coap://[node_ip]/f08/r202/telemetry,coap://[gateway_ip]/f08/r202/actuators/hvac,coap_b01-f08-r202,psk-08-02
b01-f08-r203,CoAP Floor 08 Room 203,CoAP-ThermalSensor,coap,8,203,,,campus/b01/f08/r203/status,b01-f08-coap-03-token,psk,,,coap://[node_ip]/f08/r203/telemetry,coap://[gateway_ip]/f08/r203/actuators/hvac,coap_b01-f08-r203,psk-08-03
b01-f08-r204,CoAP Floor 08 Room 204,CoAP-ThermalSensor,coap,8,204,,,campus/b01/f08/r204/status,b01-f08-coap-04-token,psk,,,coap://[node_ip]/f08/r204/telemetry,coap://[gateway_ip]/f08/r204/actuators/hvac,coap_b01-f08-r204,psk-08-04
b01-f08-r205,CoAP Floor 08 Room 205,CoAP-ThermalSensor,coap,8,205,,,campus/b01/f08/r205/status,b01-f08-coap-05-token,psk,,,coap://[node_ip]/f08/r205/telemetry,coap://[gateway_ip]/f08/r205/actuators/hvac,coap_b01-f08-r205,psk-08-05
b01-f08-r206,CoAP Floor 08 Room 206,CoAP-ThermalSensor,coap,8,206,,,campus/b01/f08/r206/status,b01-f08-coap-06-token,psk,,,coap://[node_ip]/f08/r206/telemetry,coap://[gateway_ip]/f08/r206/actuators/hvac,coap_b01-f08-r206,psk-08-06
b01-f08-r207,CoAP Floor 08 Room 207,CoAP-ThermalSensor,coap,8,207,,,campus/b01/f08/r207/status,b01-f08-coap-07-token,psk,,,coap://[node_ip]/f08/r207/telemetry,coap://[gateway_ip]/f08/r207/actuators/hvac,coap_b01-f08-r207,psk-08-07
b01-f08-r208,CoAP Floor 08 Room 208,CoAP-ThermalSensor,coap,8,208,,,campus/b01/f08/r208/status,b01-f08-coap-08-token,psk,,,coap://[node_ip]/f08/r208/telemetry,coap://[gateway_ip]/f08/r208/actuators/hvac,coap_b01-f08-r208,psk-08-08
b01-f08-r209,CoAP Floor 08 Room 209,CoAP-ThermalSensor,coap,8,209,,,campus/b01/f08/r209/status,b01-f08-coap-09-token,psk,,,coap://[node_ip]/f08/r209/telemetry,coap://[gateway_ip]/f08/r209/actuators/hvac,coap_b01-f08-r209,psk-08-09
b01-f08-r210,CoAP Floor 08 Room 210,CoAP-ThermalSensor,coap,8,210,,,campus/b01/f08/r210/status,b01-f08-coap-10-token,psk,,,coap://[node_ip]/f08/r210/telemetry,coap://[gateway_ip]/f08/r210/actuators/hvac,coap_b01-f08-r210,psk-08-10
b01-f09-r101,MQTT Floor 09 Room 101,MQTT-ThermalSensor,mqtt,9,101,campus/b01/f09/r101/telemetry,campus/b01/f09/r101/cmd,campus/b01/f09/r101/status,b01-f09-mqtt-01-token,username_password,mqtt_b01-f09-r101,pass_09_01,,,,
b01-f09-r102,MQTT Floor 09 Room 102,MQTT-ThermalSensor,mqtt,9,102,campus/b01/f09/r102/telemetry,campus/b01/f09/r102/cmd,campus/b01/f09/r102/status,b01-f09-mqtt-02-token,username_password,mqtt_b01-f09-r102,pass_09_02,,,,
b01-f09-r103,MQTT Floor 09 Room 103,MQTT-ThermalSensor,mqtt,9,103,campus/b01/f09/r103/telemetry,campus/b01/f09/r103/cmd,campus/b01/f09/r103/status,b01-f09-mqtt-03-token,username_password,mqtt_b01-f09-r103,pass_09_03,,,,
b01-f09-r104,MQTT Floor 09 Room 104,MQTT-ThermalSensor,mqtt,9,104,campus/b01/f09/r104/telemetry,campus/b01/f09/r104/cmd,campus/b01/f09/r104/status,b01-f09-mqtt-04-token,username_password,mqtt_b01-f09-r104,pass_09_04,,,,
b01-f09-r105,MQTT Floor 09 Room 105,MQTT-ThermalSensor,mqtt,9,105,campus/b01/f09/r105/telemetry,campus/b01/f09/r105/cmd,campus/b01/f09/r105/status,b01-f09-mqtt-05-token,username_password,mqtt_b01-f09-r105,pass_09_05,,,,
b01-f09-r106,MQTT Floor 09 Room 106,MQTT-ThermalSensor,mqtt,9,106,campus/b01/f09/r106/telemetry,campus/b01/f09/r106/cmd,campus/b01/f09/r106/status,b01-f09-mqtt-06-token,username_password,mqtt_b01-f09-r106,pass_09_06,,,,
b01-f09-r107,MQTT Floor 09 Room 107,MQTT-ThermalSensor,mqtt,9,107,campus/b01/f09/r107/telemetry,campus/b01/f09/r107/cmd,campus/b01/f09/r107/status,b01-f09-mqtt-07-token,username_password,mqtt_b01-f09-r107,pass_09_07,,,,
b01-f09-r108,MQTT Floor 09 Room 108,MQTT-ThermalSensor,mqtt,9,108,campus/b01/f09/r108/telemetry,campus/b01/f09/r108/cmd,campus/b01/f09/r108/status,b01-f09-mqtt-08-token,username_password,mqtt_b01-f09-r108,pass_09_08,,,,
b01-f09-r109,MQTT Floor 09 Room 109,MQTT-ThermalSensor,mqtt,9,109,campus/b01/f09/r109/telemetry,campus/b01/f09/r109/cmd,campus/b01/f09/r109/status,b01-f09-mqtt-09-token,username_password,mqtt_b01-f09-r109,pass_09_09,,,,
b01-f09-r110,MQTT Floor 09 Room 110,MQTT-ThermalSensor,mqtt,9,110,campus/b01/f09/r110/telemetry,campus/b01/f09/r110/cmd,campus/b01/f09/r110/status,b01-f09-mqtt-10-token,username_password,mqtt_b01-f09-r110,pass_09_10,,,,
b01-f09-r201,CoAP Floor 09 Room 201,CoAP-ThermalSensor,coap,9,201,,,campus/b01/f09/r201/status,b01-f09-coap-01-token,psk,,,coap://[node_ip]/f09/r201/telemetry,coap://[gateway_ip]/f09/r201/actuators/hvac,coap_b01-f09-r201,psk-09-01
b01-f09-r202,CoAP Floor 09 Room 202,CoAP-ThermalSensor,coap,9,202,,,campus/b01/f09/r202/status,b01-f09-coap-02-token,psk,,,coap://[node_ip]/f09/r202/telemetry,coap://[gateway_ip]/f09/r202/actuators/hvac,coap_b01-f09-r202,psk-09-02
b01-f09-r203,CoAP Floor 09 Room 203,CoAP-ThermalSensor,coap,9,203,,,campus/b01/f09/r203/status,b01-f09-coap-03-token,psk,,,coap://[node_ip]/f09/r203/telemetry,coap://[gateway_ip]/f09/r203/actuators/hvac,coap_b01-f09-r203,psk-09-03
b01-f09-r204,CoAP Floor 09 Room 204,CoAP-ThermalSensor,coap,9,204,,,campus/b01/f09/r204/status,b01-f09-coap-04-token,psk,,,coap://[node_ip]/f09/r204/telemetry,coap://[gateway_ip]/f09/r204/actuators/hvac,coap_b01-f09-r204,psk-09-04
b01-f09-r205,CoAP Floor 09 Room 205,CoAP-ThermalSensor,coap,9,205,,,campus/b01/f09/r205/status,b01-f09-coap-05-token,psk,,,coap://[node_ip]/f09/r205/telemetry,coap://[gateway_ip]/f09/r205/actuators/hvac,coap_b01-f09-r205,psk-09-05
b01-f09-r206,CoAP Floor 09 Room 206,CoAP-ThermalSensor,coap,9,206,,,campus/b01/f09/r206/status,b01-f09-coap-06-token,psk,,,coap://[node_ip]/f09/r206/telemetry,coap://[gateway_ip]/f09/r206/actuators/hvac,coap_b01-f09-r206,psk-09-06
b01-f09-r207,CoAP Floor 09 Room 207,CoAP-ThermalSensor,coap,9,207,,,campus/b01/f09/r207/status,b01-f09-coap-07-token,psk,,,coap://[node_ip]/f09/r207/telemetry,coap://[gateway_ip]/f09/r207/actuators/hvac,coap_b01-f09-r207,psk-09-07
b01-f09-r208,CoAP Floor 09 Room 208,CoAP-ThermalSensor,coap,9,208,,,campus/b01/f09/r208/status,b01-f09-coap-08-token,psk,,,coap://[node_ip]/f09/r208/telemetry,coap://[gateway_ip]/f09/r208/actuators/hvac,coap_b01-f09-r208,psk-09-08
b01-f09-r209,CoAP Floor 09 Room 209,CoAP-ThermalSensor,coap,9,209,,,campus/b01/f09/r209/status,b01-f09-coap-09-token,psk,,,coap://[node_ip]/f09/r209/telemetry,coap://[gateway_ip]/f09/r209/actuators/hvac,coap_b01-f09-r209,psk-09-09
b01-f09-r210,CoAP Floor 09 Room 210,CoAP-ThermalSensor,coap,9,210,,,campus/b01/f09/r210/status,b01-f09-coap-10-token,psk,,,coap://[node_ip]/f09/r210/telemetry,coap://[gateway_ip]/f09/r210/actuators/hvac,coap_b01-f09-r210,psk-09-10
b01-f10-r101,MQTT Floor 10 Room 101,MQTT-ThermalSensor,mqtt,10,101,campus/b01/f10/r101/telemetry,campus/b01/f10/r101/cmd,campus/b01/f10/r101/status,b01-f10-mqtt-01-token,username_password,mqtt_b01-f10-r101,pass_10_01,,,,
b01-f10-r102,MQTT Floor 10 Room 102,MQTT-ThermalSensor,mqtt,10,102,campus/b01/f10/r102/telemetry,campus/b01/f10/r102/cmd,campus/b01/f10/r102/status,b01-f10-mqtt-02-token,username_password,mqtt_b01-f10-r102,pass_10_02,,,,
b01-f10-r103,MQTT Floor 10 Room 103,MQTT-ThermalSensor,mqtt,10,103,campus/b01/f10/r103/telemetry,campus/b01/f10/r103/cmd,campus/b01/f10/r103/status,b01-f10-mqtt-03-token,username_password,mqtt_b01-f10-r103,pass_10_03,,,,
b01-f10-r104,MQTT Floor 10 Room 104,MQTT-ThermalSensor,mqtt,10,104,campus/b01/f10/r104/telemetry,campus/b01/f10/r104/cmd,campus/b01/f10/r104/status,b01-f10-mqtt-04-token,username_password,mqtt_b01-f10-r104,pass_10_04,,,,
b01-f10-r105,MQTT Floor 10 Room 105,MQTT-ThermalSensor,mqtt,10,105,campus/b01/f10/r105/telemetry,campus/b01/f10/r105/cmd,campus/b01/f10/r105/status,b01-f10-mqtt-05-token,username_password,mqtt_b01-f10-r105,pass_10_05,,,,
b01-f10-r106,MQTT Floor 10 Room 106,MQTT-ThermalSensor,mqtt,10,106,campus/b01/f10/r106/telemetry,campus/b01/f10/r106/cmd,campus/b01/f10/r106/status,b01-f10-mqtt-06-token,username_password,mqtt_b01-f10-r106,pass_10_06,,,,
b01-f10-r107,MQTT Floor 10 Room 107,MQTT-ThermalSensor,mqtt,10,107,campus/b01/f10/r107/telemetry,campus/b01/f10/r107/cmd,campus/b01/f10/r107/status,b01-f10-mqtt-07-token,username_password,mqtt_b01-f10-r107,pass_10_07,,,,
b01-f10-r108,MQTT Floor 10 Room 108,MQTT-ThermalSensor,mqtt,10,108,campus/b01/f10/r108/telemetry,campus/b01/f10/r108/cmd,campus/b01/f10/r108/status,b01-f10-mqtt-08-token,username_password,mqtt_b01-f10-r108,pass_10_08,,,,
b01-f10-r109,MQTT Floor 10 Room 109,MQTT-ThermalSensor,mqtt,10,109,campus/b01/f10/r109/telemetry,campus/b01/f10/r109/cmd,campus/b01/f10/r109/status,b01-f10-mqtt-09-token,username_password,mqtt_b01-f10-r109,pass_10_09,,,,
b01-f10-r110,MQTT Floor 10 Room 110,MQTT-ThermalSensor,mqtt,10,110,campus/b01/f10/r110/telemetry,campus/b01/f10/r110/cmd,campus/b01/f10/r110/status,b01-f10-mqtt-10-token,username_password,mqtt_b01-f10-r110,pass_10_10,,,,
b01-f10-r201,CoAP Floor 10 Room 201,CoAP-ThermalSensor,coap,10,201,,,campus/b01/f10/r201/status,b01-f10-coap-01-token,psk,,,coap://[node_ip]/f10/r201/telemetry,coap://[gateway_ip]/f10/r201/actuators/hvac,coap_b01-f10-r201,psk-10-01
b01-f10-r202,CoAP Floor 10 Room 202,CoAP-ThermalSensor,coap,10,202,,,campus/b01/f10/r202/status,b01-f10-coap-02-token,psk,,,coap://[node_ip]/f10/r202/telemetry,coap://[gateway_ip]/f10/r202/actuators/hvac,coap_b01-f10-r202,psk-10-02
b01-f10-r203,CoAP Floor 10 Room 203,CoAP-ThermalSensor,coap,10,203,,,campus/b01/f10/r203/status,b01-f10-coap-03-token,psk,,,coap://[node_ip]/f10/r203/telemetry,coap://[gateway_ip]/f10/r203/actuators/hvac,coap_b01-f10-r203,psk-10-03
b01-f10-r204,CoAP Floor 10 Room 204,CoAP-ThermalSensor,coap,10,204,,,campus/b01/f10/r204/status,b01-f10-coap-04-token,psk,,,coap://[node_ip]/f10/r204/telemetry,coap://[gateway_ip]/f10/r204/actuators/hvac,coap_b01-f10-r204,psk-10-04
b01-f10-r205,CoAP Floor 10 Room 205,CoAP-ThermalSensor,coap,10,205,,,campus/b01/f10/r205/status,b01-f10-coap-05-token,psk,,,coap://[node_ip]/f10/r205/telemetry,coap://[gateway_ip]/f10/r205/actuators/hvac,coap_b01-f10-r205,psk-10-05
b01-f10-r206,CoAP Floor 10 Room 206,CoAP-ThermalSensor,coap,10,206,,,campus/b01/f10/r206/status,b01-f10-coap-06-token,psk,,,coap://[node_ip]/f10/r206/telemetry,coap://[gateway_ip]/f10/r206/actuators/hvac,coap_b01-f10-r206,psk-10-06
b01-f10-r207,CoAP Floor 10 Room 207,CoAP-ThermalSensor,coap,10,207,,,campus/b01/f10/r207/status,b01-f10-coap-07-token,psk,,,coap://[node_ip]/f10/r207/telemetry,coap://[gateway_ip]/f10/r207/actuators/hvac,coap_b01-f10-r207,psk-10-07
